district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Madurai,2025-04-08 03:00:00,28.67,31.69,28.67,28.67,1012,68,0.96,81,95,Clouds,overcast clouds
Madurai,2025-04-08 06:00:00,33.49,35.06,33.49,33.49,1010,42,0.78,100,55,Clouds,broken clouds
Madurai,2025-04-08 09:00:00,37.18,37.2,37.18,37.18,1007,27,3.06,91,72,Clouds,broken clouds
Madurai,2025-04-08 12:00:00,36.2,36.22,36.2,36.2,1006,29,5.34,54,80,Clouds,broken clouds
Madurai,2025-04-08 15:00:00,31.38,34.16,31.38,31.38,1010,54,6.0,134,46,Clouds,scattered clouds
Madurai,2025-04-08 18:00:00,29.28,32.39,29.28,29.28,1011,65,3.23,161,45,Clouds,scattered clouds
Madurai,2025-04-08 21:00:00,28.56,31.47,28.56,28.56,1009,68,1.42,145,58,Clouds,broken clouds
Madurai,2025-04-09 00:00:00,28.08,30.82,28.08,28.08,1010,70,1.6,104,79,Clouds,broken clouds
Madurai,2025-04-09 03:00:00,29.01,32.03,29.01,29.01,1012,66,0.99,154,98,Clouds,overcast clouds
Madurai,2025-04-09 06:00:00,33.1,36.49,33.1,33.1,1010,50,2.84,194,98,Clouds,overcast clouds
Madurai,2025-04-09 09:00:00,36.44,37.7,36.44,36.44,1006,33,3.54,191,95,Clouds,overcast clouds
Madurai,2025-04-09 12:00:00,25.14,25.67,25.14,25.14,1006,75,1.76,197,100,Rain,light rain
Madurai,2025-04-09 15:00:00,30.55,33.69,30.55,30.55,1009,59,3.99,166,90,Clouds,overcast clouds
Madurai,2025-04-09 18:00:00,29.48,33.81,29.48,29.48,1009,70,0.8,77,85,Rain,light rain
Madurai,2025-04-09 21:00:00,28.75,32.02,28.75,28.75,1007,69,1.55,286,70,Clouds,broken clouds
Madurai,2025-04-10 00:00:00,27.61,29.93,27.61,27.61,1008,70,1.13,235,62,Clouds,broken clouds
Madurai,2025-04-10 03:00:00,29.8,32.27,29.8,29.8,1009,59,2.34,269,89,Clouds,overcast clouds
Madurai,2025-04-10 06:00:00,34.52,36.91,34.52,34.52,1008,42,3.29,232,83,Clouds,broken clouds
Madurai,2025-04-10 09:00:00,37.35,38.33,37.35,37.35,1004,30,2.79,177,78,Clouds,broken clouds
Madurai,2025-04-10 12:00:00,35.79,36.6,35.79,35.79,1003,33,3.92,101,88,Clouds,overcast clouds
